"Story","Title","Result","Date","Stability","Duration (s)"
"Cart operations","Add a product","SUCCESS","2022-06-13T20:29:24.8429144-05:00[America/Bogota]","0.0","18.42"
"User Register","User Register","SUCCESS","2022-06-13T20:29:52.1507079-05:00[America/Bogota]","0.0","22.29"
